date,price
2025-03-07,132.43017578125
2025-03-10,130.35865783691406
2025-03-11,128.3561553955078
2025-03-12,128.34629821777344
2025-03-13,127.03433990478516
2025-03-14,129.3524932861328
2025-03-17,131.13795471191406
2025-03-18,130.09231567382812
2025-03-19,131.81858825683594
2025-03-20,131.15769958496094
2025-03-21,130.45730590820312
2025-03-24,132.87655639648438
2025-03-25,133.074462890625
2025-03-26,132.19381713867188
2025-03-27,131.49130249023438
2025-03-28,128.78012084960938
2025-03-31,129.69046020507812
2025-04-01,130.4226531982422
2025-04-02,131.64962768554688
2025-04-03,124.525390625
2025-04-04,116.69865417480469
2025-04-07,116.15443420410156
2025-04-08,115.19464874267578
2025-04-09,125.42581939697266
2025-04-10,122.19023132324219
2025-04-11,124.3472900390625
2025-04-14,125.64350891113281
2025-04-15,125.02012634277344
2025-04-16,123.30833435058594
2025-04-17,123.98118591308594
2025-04-21,121.20075225830078
2025-04-22,123.31822967529297
2025-04-23,124.86181640625
2025-04-24,127.66202545166016
2025-04-25,127.65213012695312
2025-04-28,128.07762145996094
2025-04-29,128.9087677001953
2025-04-30,129.83888244628906
2025-05-01,130.81846618652344
2025-05-02,133.16351318359375
2025-05-05,133.23277282714844
2025-05-06,132.065185546875
2025-05-07,132.73802185058594
2025-05-08,134.5685577392578
2025-05-09,134.67739868164062
2025-05-12,138.82330322265625
2025-05-13,139.79298400878906
2025-05-14,139.12014770507812
2025-05-15,140.66372680664062
2025-05-16,142.2666778564453
2025-05-19,142.75152587890625
2025-05-20,142.2369842529297
2025-05-21,139.8325653076172
2025-05-22,139.80287170410156
2025-05-23,139.3477325439453
2025-05-27,141.80162048339844
2025-05-28,141.09910583496094
2025-05-29,141.22772216796875
2025-05-30,141.31678771972656
2025-06-02,141.138671875
2025-06-03,142.22711181640625
2025-06-04,142.30625915527344
2025-06-05,142.20730590820312
2025-06-06,143.40455627441406
2025-06-09,143.27593994140625
2025-06-10,142.65257263183594
2025-06-11,142.7218475341797
2025-06-12,142.34584045410156
2025-06-13,141.14857482910156
2025-06-16,142.11825561523438
2025-06-17,141.0496368408203
2025-06-18,140.7132110595703
2025-06-20,140.8715057373047
2025-06-23,142.77906799316406
2025-06-24,143.97006225585938
2025-06-25,142.69967651367188
2025-06-26,144.24795532226562
2025-06-27,145.6870574951172
2025-06-30,146.4115753173828
2025-07-01,146.89788818359375
2025-07-02,147.04676818847656
2025-07-03,148.2972869873047
2025-07-07,147.7812042236328
2025-07-08,147.74151611328125
2025-07-09,148.773681640625
2025-07-10,149.60739135742188
2025-07-11,149.07144165039062
2025-07-14,149.87535095214844
2025-07-15,148.7538604736328
2025-07-16,149.2798614501953
2025-07-17,150.659423828125
2025-07-18,150.3219757080078
2025-07-21,149.52798461914062
2025-07-22,149.88528442382812
2025-07-23,152.5749053955078
2025-07-24,152.31686401367188
2025-07-25,153.825439453125
2025-07-28,153.3490447998047
2025-07-29,151.60227966308594
2025-07-30,150.85791015625
2025-07-31,150.86782836914062
2025-08-01,148.61489868164062
2025-08-04,149.98451232910156
2025-08-05,149.67686462402344
2025-08-06,149.7959442138672
2025-08-07,149.57762145996094
2025-08-08,149.6967010498047
2025-08-11,149.21038818359375
2025-08-12,150.7586669921875
2025-08-13,151.3343048095703
2025-08-14,149.9944610595703
2025-08-15,149.30963134765625
2025-08-18,149.89520263671875
2025-08-19,150.22271728515625
2025-08-20,150.0837860107422
2025-08-21,149.54783630371094
2025-08-22,151.98934936523438
2025-08-25,150.47085571289062
2025-08-26,152.01913452148438
2025-08-27,151.999267578125
2025-08-28,152.26724243164062
2025-08-29,150.86782836914062
2025-09-02,149.42872619628906
2025-09-03,148.6744384765625
2025-09-04,150.35174560546875
2025-09-05,149.7959442138672
2025-09-08,150.13340759277344
2025-09-09,149.12106323242188
2025-09-10,150.22271728515625
2025-09-11,151.6519012451172
2025-09-12,150.44107055664062
2025-09-15,151.1358184814453
2025-09-16,150.68919372558594
2025-09-17,150.00437927246094
2025-09-18,151.60227966308594
2025-09-19,151.96949768066406
2025-09-22,152.47776794433594
2025-09-23,152.5176239013672
2025-09-24,151.73031616210938
2025-09-25,150.70384216308594
2025-09-26,152.0592041015625
2025-09-29,152.527587890625
2025-09-30,153.70355224609375
2025-10-01,153.27503967285156
2025-10-02,153.6736602783203
2025-10-03,153.88294982910156
2025-10-06,154.60049438476562
2025-10-07,153.72349548339844
2025-10-08,155.0589141845703
2025-10-09,152.7667694091797
2025-10-10,149.38833618164062
2025-10-13,150.94302368164062
2025-10-14,152.71694946289062
