date,price
2025-03-07,489.30841064453125
2025-03-10,470.3446350097656
2025-03-11,469.2203369140625
2025-03-12,474.51348876953125
2025-03-13,465.97674560546875
2025-03-14,477.2396240234375
2025-03-17,480.3338928222656
2025-03-18,472.1454772949219
2025-03-19,478.4634094238281
2025-03-20,476.8416748046875
2025-03-21,478.4136657714844
2025-03-24,488.9121398925781
2025-03-25,491.7021789550781
2025-03-26,482.65447998046875
2025-03-27,479.90435791015625
2025-03-28,467.26953125
2025-03-31,467.2496032714844
2025-04-01,471.01611328125
2025-04-02,474.4538269042969
2025-04-03,449.0546569824219
2025-04-04,421.16436767578125
2025-04-07,422.1806945800781
2025-04-08,414.577880859375
2025-04-09,464.3399963378906
2025-04-10,444.590576171875
2025-04-11,452.7812805175781
2025-04-14,455.8503112792969
2025-04-15,456.3584899902344
2025-04-16,442.59771728515625
2025-04-17,442.51800537109375
2025-04-21,431.567138671875
2025-04-22,442.89666748046875
2025-04-23,452.9407043457031
2025-04-24,465.6851806640625
2025-04-25,470.8766174316406
2025-04-28,470.7271423339844
2025-04-29,473.8360290527344
2025-04-30,473.7762451171875
2025-05-01,479.964111328125
2025-05-02,487.0886535644531
2025-05-05,484.198974609375
2025-05-06,479.6950988769531
2025-05-07,481.5783386230469
2025-05-08,486.55059814453125
2025-05-09,486.231689453125
2025-05-12,506.0409240722656
2025-05-13,513.75341796875
2025-05-14,516.832275390625
2025-05-15,517.4002685546875
2025-05-16,519.6522827148438
2025-05-19,520.1504516601562
2025-05-20,518.4166259765625
2025-05-21,511.21234130859375
2025-05-22,512.1690063476562
2025-05-23,507.4259033203125
2025-05-27,519.3632202148438
2025-05-28,517.0614624023438
2025-05-29,518.077880859375
2025-05-30,517.2607421875
2025-06-02,521.34619140625
2025-06-03,525.4215698242188
2025-06-04,526.8863525390625
2025-06-05,522.9205322265625
2025-06-06,528.0322875976562
2025-06-09,528.8095092773438
2025-06-10,532.3070068359375
2025-06-11,530.5133666992188
2025-06-12,531.7589111328125
2025-06-13,525.0828857421875
2025-06-16,532.38671875
2025-06-17,527.1953125
2025-06-18,527.1055297851562
2025-06-20,524.9533081054688
2025-06-23,530.3511352539062
2025-06-24,538.4612426757812
2025-06-25,539.8377685546875
2025-06-26,544.885498046875
2025-06-27,546.7509155273438
2025-06-30,550.292236328125
2025-07-01,545.653564453125
2025-07-02,549.4542846679688
2025-07-03,554.8610229492188
2025-07-07,550.6813354492188
2025-07-08,550.9906005859375
2025-07-09,554.8909912109375
2025-07-10,554.0929565429688
2025-07-11,552.845947265625
2025-07-14,554.85107421875
2025-07-15,555.3598022460938
2025-07-16,555.9284057617188
2025-07-17,560.4273681640625
2025-07-18,559.8887329101562
2025-07-21,562.7916259765625
2025-07-22,559.8787841796875
2025-07-23,562.4324951171875
2025-07-24,563.6295776367188
2025-07-25,564.9862670898438
2025-07-28,566.7518920898438
2025-07-29,565.8740844726562
2025-07-30,566.6322631835938
2025-07-31,563.6295776367188
2025-08-01,552.5267333984375
2025-08-04,562.7218017578125
2025-08-05,558.901123046875
2025-08-06,565.9339599609375
2025-08-07,567.8491821289062
2025-08-08,573.146240234375
2025-08-11,571.4503784179688
2025-08-12,578.6328125
2025-08-13,578.922119140625
2025-08-14,578.4732666015625
2025-08-15,575.929443359375
2025-08-18,575.699951171875
2025-08-19,567.88916015625
2025-08-20,564.5174560546875
2025-08-21,561.90380859375
2025-08-22,570.5725708007812
