date,price
2025-03-07,6.570000171661377
2025-03-10,6.550000190734863
2025-03-11,6.679999828338623
2025-03-12,7.139999866485596
2025-03-13,6.849999904632568
2025-03-14,6.949999809265137
2025-03-17,6.860000133514404
2025-03-18,6.730000019073486
2025-03-19,6.5
2025-03-20,6.775000095367432
2025-03-21,6.909999847412109
2025-03-24,6.75
2025-03-25,6.510000228881836
2025-03-26,6.400000095367432
2025-03-27,6.349999904632568
2025-03-28,6.360000133514404
2025-03-31,6.25
2025-04-01,6.5
2025-04-02,6.369999885559082
2025-04-03,6.019999980926514
2025-04-04,5.619999885559082
2025-04-07,5.380000114440918
2025-04-08,5.360000133514404
2025-04-09,5.329999923706055
2025-04-10,5.599999904632568
2025-04-11,5.630000114440918
2025-04-14,5.75
2025-04-15,5.690000057220459
2025-04-16,5.71999979019165
2025-04-17,5.739999771118164
2025-04-21,5.730000019073486
2025-04-22,5.599999904632568
2025-04-23,5.880000114440918
2025-04-24,5.829999923706055
2025-04-25,5.920000076293945
2025-04-28,5.78000020980835
2025-04-29,5.570000171661377
2025-04-30,5.764999866485596
2025-05-01,5.949999809265137
2025-05-02,5.840000152587891
2025-05-05,5.914000034332275
2025-05-06,5.619999885559082
2025-05-07,5.619999885559082
2025-05-08,5.420000076293945
2025-05-09,5.429999828338623
2025-05-12,5.539999961853027
2025-05-13,5.300000190734863
2025-05-14,5.460000038146973
2025-05-15,5.550000190734863
2025-05-16,5.504000186920166
2025-05-19,5.309999942779541
2025-05-20,5.360000133514404
2025-05-21,5.340000152587891
2025-05-22,5.210000038146973
2025-05-23,5.150000095367432
2025-05-27,5.150000095367432
2025-05-28,5.166999816894531
2025-05-29,5.190000057220459
2025-05-30,5.190000057220459
2025-06-02,5.099999904632568
2025-06-03,5.199999809265137
2025-06-04,5.420000076293945
2025-06-05,5.489999771118164
2025-06-06,5.409999847412109
2025-06-09,5.372000217437744
2025-06-10,5.519999980926514
2025-06-11,5.650000095367432
2025-06-12,5.730000019073486
2025-06-13,5.869999885559082
2025-06-16,5.679999828338623
2025-06-17,5.630000114440918
2025-06-18,5.619999885559082
2025-06-20,5.730000019073486
2025-06-23,5.78000020980835
2025-06-24,5.735000133514404
2025-06-25,5.800000190734863
2025-06-26,5.659999847412109
2025-06-27,5.584000110626221
2025-06-30,5.550000190734863
2025-07-01,5.630000114440918
2025-07-02,5.769999980926514
2025-07-03,5.929999828338623
2025-07-07,6.070000171661377
2025-07-08,6.179999828338623
2025-07-09,6.25
2025-07-10,6.659999847412109
2025-07-11,7.090000152587891
2025-07-14,7.260000228881836
2025-07-15,6.78000020980835
2025-07-16,7.25
2025-07-17,7.610000133514404
2025-07-18,7.400000095367432
2025-07-21,7.349999904632568
2025-07-22,7.670000076293945
2025-07-23,7.519999980926514
2025-07-24,7.420000076293945
2025-07-25,7.150000095367432
2025-07-28,7.245999813079834
2025-07-29,6.940000057220459
2025-07-30,7.019999980926514
2025-07-31,7.400000095367432
2025-08-01,7.460000038146973
2025-08-04,7.309999942779541
2025-08-05,7.769999980926514
2025-08-06,7.730000019073486
2025-08-07,7.75
2025-08-08,7.800000190734863
2025-08-11,7.900000095367432
2025-08-12,8.020000457763672
2025-08-13,8.166999816894531
2025-08-14,8.130000114440918
2025-08-15,8.020000457763672
2025-08-18,8.079999923706055
2025-08-19,7.7729997634887695
2025-08-20,8.039999961853027
2025-08-21,8.15999984741211
2025-08-22,8.40999984741211
2025-08-25,8.5
2025-08-26,8.600000381469727
2025-08-27,8.300000190734863
2025-08-28,8.350000381469727
2025-08-29,8.369999885559082
2025-09-02,8.020000457763672
2025-09-03,8.140000343322754
2025-09-04,8.062999725341797
2025-09-05,8.039999961853027
2025-09-08,8.149999618530273
2025-09-09,8.390000343322754
2025-09-10,8.220000267028809
2025-09-11,8.114999771118164
2025-09-12,8.100000381469727
2025-09-15,8.210000038146973
2025-09-16,8.039999961853027
2025-09-17,8.140000343322754
2025-09-18,8.199999809265137
2025-09-19,8.15999984741211
2025-09-22,8.0600004196167
2025-09-23,8.25
2025-09-24,8.380000114440918
2025-09-25,8.199999809265137
2025-09-26,8.050000190734863
2025-09-29,7.769999980926514
2025-09-30,7.510000228881836
2025-10-01,7.579999923706055
2025-10-02,7.78000020980835
2025-10-03,7.71999979019165
2025-10-06,7.866000175476074
2025-10-07,8.0
2025-10-08,7.599999904632568
2025-10-09,7.699999809265137
2025-10-10,8.180000305175781
2025-10-13,8.640000343322754
2025-10-14,8.199999809265137
2025-10-15,8.520000457763672
2025-10-16,8.329999923706055
2025-10-17,8.15999984741211
2025-10-20,8.239999771118164
2025-10-21,8.380000114440918
2025-10-22,8.229999542236328
2025-10-23,7.820000171661377
2025-10-24,7.849999904632568
2025-10-27,7.96999979019165
2025-10-28,7.953000068664551
2025-10-29,8.199999809265137
2025-10-30,8.25
2025-10-31,8.100000381469727
2025-11-03,7.920000076293945
2025-11-04,8.180000305175781
2025-11-05,8.300000190734863
2025-11-06,8.5
2025-11-07,8.350000381469727
2025-11-10,8.369999885559082
2025-11-11,8.420000076293945
2025-11-12,8.479999542236328
2025-11-13,8.699999809265137
2025-11-14,8.600000381469727
2025-11-17,8.800000190734863
2025-11-18,8.989999771118164
2025-11-19,8.899999618530273
2025-11-20,8.920000076293945
2025-11-21,8.949999809265137
2025-11-24,9.1899995803833
2025-11-25,9.229999542236328
2025-11-26,9.199999809265137
2025-11-28,8.770000457763672
2025-12-01,9.34000015258789
2025-12-02,9.25
2025-12-03,9.300000190734863
2025-12-04,9.270000457763672
2025-12-05,9.0
2025-12-08,9.25
2025-12-09,8.829999923706055
2025-12-10,9.012999534606934
2025-12-11,8.84000015258789
2025-12-12,8.680000305175781
2025-12-15,8.920000076293945
2025-12-16,8.770000457763672
2025-12-17,8.420000076293945
2025-12-18,8.656000137329102
2025-12-19,8.699999809265137
2025-12-22,8.880000114440918
2025-12-23,8.739999771118164
2025-12-24,8.770000457763672
2025-12-26,8.75
2025-12-29,8.739999771118164
2025-12-30,8.680000305175781
2025-12-31,8.770000457763672
2026-01-02,8.460000038146973
2026-01-05,8.720000267028809
2026-01-06,8.8100004196167
2026-01-07,8.789999961853027
2026-01-08,9.140000343322754
2026-01-09,8.850000381469727
2026-01-12,8.729999542236328
2026-01-13,8.720999717712402
2026-01-14,9.039999961853027
2026-01-15,9.479999542236328
2026-01-16,9.800000190734863
2026-01-20,10.239999771118164
2026-01-21,10.069999694824219
2026-01-22,10.0
2026-01-23,10.359999656677246
2026-01-26,10.979999542236328
2026-01-27,11.260000228881836
2026-01-28,11.010000228881836
2026-01-29,11.479999542236328
2026-01-30,11.529999732971191
2026-02-02,11.199999809265137
2026-02-03,10.550000190734863
2026-02-04,10.850000381469727
2026-02-05,10.710000038146973
2026-02-06,10.649999618530273
2026-02-09,10.949999809265137
2026-02-10,11.180000305175781
2026-02-11,11.4399995803833
2026-02-12,11.300000190734863
2026-02-13,11.489999771118164
2026-02-17,11.680000305175781
2026-02-18,11.760000228881836
2026-02-19,11.65999984741211
2026-02-20,11.729999542236328
2026-02-23,11.770000457763672
2026-02-24,11.869999885559082
2026-02-25,11.680000305175781
2026-02-26,11.90999984741211
2026-02-27,12.069999694824219
2026-03-02,12.220000267028809
2026-03-03,12.5
2026-03-04,11.90999984741211
2026-03-05,11.520000457763672
2026-03-06,10.460000038146973
