date,price
2025-03-07,22.84290313720703
2025-03-10,21.771677017211914
2025-03-11,21.404682159423828
2025-03-12,21.017850875854492
2025-03-13,20.82939338684082
2025-03-14,21.47411346435547
2025-03-17,21.87086296081543
2025-03-18,21.47411346435547
2025-03-19,22.0593204498291
2025-03-20,21.831188201904297
2025-03-21,21.80143165588379
2025-03-24,22.535419464111328
2025-03-25,22.307289123535156
2025-03-26,22.138669967651367
2025-03-27,21.61297607421875
2025-03-28,20.958335876464844
2025-03-31,20.60126304626465
2025-04-01,20.273942947387695
2025-04-02,20.769882202148438
2025-04-03,18.96466827392578
2025-04-04,17.913278579711914
2025-04-07,17.87360382080078
2025-04-08,17.228885650634766
2025-04-09,20.19459342956543
2025-04-10,18.43897247314453
2025-04-11,18.934911727905273
2025-04-14,18.716699600219727
2025-04-15,18.905153274536133
2025-04-16,18.686941146850586
2025-04-17,18.72661590576172
2025-04-21,18.250516891479492
2025-04-22,18.67702293395996
2025-04-23,19.05393409729004
2025-04-24,19.401092529296875
2025-04-25,19.351499557495117
2025-04-28,19.539955139160156
2025-04-29,19.589548110961914
2025-04-30,19.658979415893555
2025-05-01,19.778005599975586
2025-05-02,20.71036720275879
2025-05-05,20.869070053100586
2025-05-06,20.64093589782715
2025-05-07,20.94841957092285
2025-05-08,21.642730712890625
2025-05-09,21.662569046020508
2025-05-12,22.36680030822754
2025-05-13,22.922252655029297
2025-05-14,22.436233520507812
2025-05-15,22.31720733642578
2025-05-16,22.55525779724121
2025-05-19,22.58501434326172
2025-05-20,22.386638641357422
2025-05-21,21.70224380493164
2025-05-22,21.92045783996582
2025-05-23,21.741918563842773
2025-05-27,22.594932556152344
2025-05-28,22.465988159179688
2025-05-29,22.55525779724121
2025-05-30,22.535419464111328
2025-06-02,22.62468910217285
2025-06-03,22.65444564819336
2025-06-04,22.594932556152344
2025-06-05,22.406476974487305
2025-06-06,23.061115264892578
2025-06-09,23.130544662475586
2025-06-10,23.249570846557617
2025-06-11,22.48582649230957
2025-06-12,22.237857818603516
2025-06-13,21.46419334411621
2025-06-16,22.15850830078125
2025-06-17,21.484031677246094
2025-06-18,21.454275131225586
2025-06-20,21.39476203918457
2025-06-23,21.811349868774414
2025-06-24,22.475908279418945
2025-06-25,22.118831634521484
2025-06-26,22.446149826049805
2025-06-27,22.723876953125
2025-06-30,22.783388137817383
2025-07-01,23.239652633666992
2025-07-02,23.59672737121582
2025-07-03,23.924047470092773
2025-07-07,23.61656379699707
2025-07-08,23.74551010131836
2025-07-09,23.67607879638672
2025-07-10,25.401941299438477
2025-07-11,24.8266544342041
2025-07-14,25.074623107910156
2025-07-15,24.56876564025879
2025-07-16,24.70762825012207
2025-07-17,24.896085739135742
2025-07-18,24.786977767944336
2025-07-21,24.816734313964844
2025-07-22,24.9456787109375
2025-07-23,25.34242820739746
2025-07-24,24.221609115600586
2025-07-25,24.38031005859375
2025-07-28,24.4794979095459
2025-07-29,24.052989959716797
2025-07-30,23.8546142578125
2025-07-31,23.755428314208984
2025-08-01,22.932170867919922
2025-08-04,23.40827178955078
2025-08-05,23.3884334564209
2025-08-06,23.626483917236328
2025-08-07,23.398351669311523
2025-08-08,23.487621307373047
2025-08-11,23.319002151489258
2025-08-12,25.025028228759766
2025-08-13,25.501127243041992
2025-08-14,25.193647384643555
2025-08-15,25.451534271240234
2025-08-18,25.501127243041992
2025-08-19,25.520965576171875
2025-08-20,25.01511001586914
2025-08-21,24.737384796142578
2025-08-22,26.00698471069336
2025-08-25,25.570560455322266
2025-08-26,26.026823043823242
2025-08-27,25.91771697998047
2025-08-28,26.096254348754883
2025-08-29,26.096254348754883
2025-09-02,26.05657958984375
2025-09-03,26.22519874572754
2025-09-04,25.759016036987305
2025-09-05,25.91771697998047
2025-09-08,25.91771697998047
2025-09-09,25.56064224243164
2025-09-10,25.72926139831543
2025-09-11,26.106172561645508
2025-09-12,25.778854370117188
2025-09-15,25.530885696411133
2025-09-16,25.4912109375
2025-09-17,25.639991760253906
2025-09-18,25.699504852294922
2025-09-19,25.590396881103516
2025-09-22,25.51104736328125
2025-09-23,25.461454391479492
2025-09-24,25.11429786682129
2025-09-25,24.558847427368164
2025-09-26,24.717546463012695
2025-09-29,24.84649085998535
2025-09-30,24.449739456176758
2025-10-01,24.330717086791992
2025-10-02,24.558847427368164
2025-10-03,24.767139434814453
2025-10-06,24.925840377807617
2025-10-07,24.558847427368164
2025-10-08,24.70762825012207
2025-10-09,24.628278732299805
2025-10-10,24.013315200805664
2025-10-13,24.429903030395508
2025-10-14,25.20356559753418
2025-10-15,25.32259178161621
2025-10-16,24.737384796142578
2025-10-17,24.658035278320312
2025-10-20,25.282917022705078
2025-10-21,25.401941299438477
2025-10-22,24.985353469848633
2025-10-23,24.737384796142578
2025-10-24,25.33251190185547
